"t","R","S","I","sample","Gamma","Beta","Rt"
32.1700578634166,4842,2489,2669,628,0.143,4.5e-05,0.783251748251748
32.1710955102308,4843,2489,2668,628,0.143,4.5e-05,0.783251748251748
32.1720238737905,4843,2488,2669,628,0.143,4.5e-05,0.782937062937063
32.1728091938085,4844,2488,2668,628,0.143,4.5e-05,0.782937062937063
32.1739086801161,4844,2487,2669,628,0.143,4.5e-05,0.782622377622378
32.1753032158254,4844,2486,2670,628,0.143,4.5e-05,0.782307692307692
32.1761484775543,4845,2486,2669,628,0.143,4.5e-05,0.782307692307692
32.1787583584212,4845,2485,2670,628,0.143,4.5e-05,0.781993006993007
32.1807940113094,4845,2484,2671,628,0.143,4.5e-05,0.781678321678322
32.1840547919657,4845,2483,2672,628,0.143,4.5e-05,0.781363636363636
32.1842223032194,4845,2482,2673,628,0.143,4.5e-05,0.781048951048951
32.1856132360254,4846,2482,2672,628,0.143,4.5e-05,0.781048951048951
32.1862712303317,4847,2482,2671,629,0.143,4.5e-05,0.781048951048951
32.1887610737368,4848,2482,2670,629,0.143,4.5e-05,0.781048951048951
32.1890893540541,4848,2481,2671,629,0.143,4.5e-05,0.780734265734266
32.1894386000651,4849,2481,2670,629,0.143,4.5e-05,0.780734265734266
32.1901120849814,4850,2481,2669,629,0.143,4.5e-05,0.780734265734266
32.1912704629064,4850,2480,2670,629,0.143,4.5e-05,0.780419580419581
32.1939157355823,4851,2480,2669,629,0.143,4.5e-05,0.780419580419581
32.1978795556782,4852,2480,2668,629,0.143,4.5e-05,0.780419580419581
32.1985228350369,4852,2479,2669,629,0.143,4.5e-05,0.780104895104895
32.1985411517341,4853,2479,2668,629,0.143,4.5e-05,0.780104895104895
32.1991894709529,4854,2479,2667,629,0.143,4.5e-05,0.780104895104895
32.1999510733132,4855,2479,2666,629,0.143,4.5e-05,0.780104895104895
32.2020374491459,4856,2479,2665,629,0.143,4.5e-05,0.780104895104895
32.2055677238481,4857,2479,2664,629,0.143,4.5e-05,0.780104895104895
32.2057921985212,4858,2479,2663,629,0.143,4.5e-05,0.780104895104895
32.2071423885916,4859,2479,2662,629,0.143,4.5e-05,0.780104895104895
32.2081087718092,4859,2478,2663,629,0.143,4.5e-05,0.77979020979021
32.2083544072537,4859,2477,2664,629,0.143,4.5e-05,0.779475524475525
32.2092715242277,4859,2476,2665,629,0.143,4.5e-05,0.779160839160839
32.2094336583432,4860,2476,2664,630,0.143,4.5e-05,0.779160839160839
32.2109146475331,4860,2475,2665,630,0.143,4.5e-05,0.778846153846154
32.2110323173974,4860,2474,2666,630,0.143,4.5e-05,0.778531468531469
32.2112593556511,4861,2474,2665,630,0.143,4.5e-05,0.778531468531469
32.2119548434729,4862,2474,2664,630,0.143,4.5e-05,0.778531468531469
32.2126778879502,4863,2474,2663,630,0.143,4.5e-05,0.778531468531469
32.2129147123992,4863,2473,2664,630,0.143,4.5e-05,0.778216783216783
32.213761465543,4864,2473,2663,630,0.143,4.5e-05,0.778216783216783
32.2153527237755,4865,2473,2662,630,0.143,4.5e-05,0.778216783216783
32.2155465783498,4865,2472,2663,630,0.143,4.5e-05,0.777902097902098
32.216490007328,4866,2472,2662,630,0.143,4.5e-05,0.777902097902098
32.2171600044915,4866,2471,2663,630,0.143,4.5e-05,0.777587412587413
32.2178872211421,4866,2470,2664,630,0.143,4.5e-05,0.777272727272727
32.2185341815304,4867,2470,2663,631,0.143,4.5e-05,0.777272727272727
32.2186605005145,4868,2470,2662,631,0.143,4.5e-05,0.777272727272727
32.2187444191212,4868,2469,2663,631,0.143,4.5e-05,0.776958041958042
32.2200027847028,4869,2469,2662,632,0.143,4.5e-05,0.776958041958042
32.2204150730934,4869,2468,2663,632,0.143,4.5e-05,0.776643356643357
32.2221510312335,4870,2468,2662,632,0.143,4.5e-05,0.776643356643357
32.2223911151057,4871,2468,2661,632,0.143,4.5e-05,0.776643356643357
32.2292773611837,4871,2467,2662,632,0.143,4.5e-05,0.776328671328671
32.2315687466415,4871,2466,2663,632,0.143,4.5e-05,0.776013986013986
32.2317392212964,4872,2466,2662,633,0.143,4.5e-05,0.776013986013986
32.2318131774409,4872,2465,2663,633,0.143,4.5e-05,0.775699300699301
32.2343813464083,4873,2465,2662,633,0.143,4.5e-05,0.775699300699301
32.2352908124077,4874,2465,2661,633,0.143,4.5e-05,0.775699300699301
32.2373152562094,4874,2464,2662,633,0.143,4.5e-05,0.775384615384615
32.2376847590603,4874,2463,2663,633,0.143,4.5e-05,0.77506993006993
32.2378323180352,4875,2463,2662,633,0.143,4.5e-05,0.77506993006993
32.2380670904601,4875,2462,2663,633,0.143,4.5e-05,0.774755244755245
32.2400376776865,4876,2462,2662,633,0.143,4.5e-05,0.774755244755245
32.2420326879358,4876,2461,2663,633,0.143,4.5e-05,0.77444055944056
32.2428651982764,4877,2461,2662,633,0.143,4.5e-05,0.77444055944056
32.2436729634029,4877,2460,2663,633,0.143,4.5e-05,0.774125874125874
32.2452135975383,4878,2460,2662,633,0.143,4.5e-05,0.774125874125874
32.2466566113557,4879,2460,2661,633,0.143,4.5e-05,0.774125874125874
32.2467763676055,4879,2459,2662,633,0.143,4.5e-05,0.773811188811189
32.251077358908,4879,2458,2663,633,0.143,4.5e-05,0.773496503496504
32.254340094292,4880,2458,2662,633,0.143,4.5e-05,0.773496503496504
32.2543425695853,4881,2458,2661,633,0.143,4.5e-05,0.773496503496504
32.2559098708428,4882,2458,2660,633,0.143,4.5e-05,0.773496503496503
32.2562833323234,4883,2458,2659,633,0.143,4.5e-05,0.773496503496504
32.2568045375769,4883,2457,2660,633,0.143,4.5e-05,0.773181818181818
32.2570559935434,4883,2456,2661,633,0.143,4.5e-05,0.772867132867133
32.2587800852412,4884,2456,2660,633,0.143,4.5e-05,0.772867132867133
32.2591532738637,4885,2456,2659,633,0.143,4.5e-05,0.772867132867133
32.2611096006806,4885,2455,2660,633,0.143,4.5e-05,0.772552447552448
32.2659540385191,4886,2455,2659,633,0.143,4.5e-05,0.772552447552448
32.2661174164129,4887,2455,2658,633,0.143,4.5e-05,0.772552447552448
32.2668747855556,4887,2454,2659,633,0.143,4.5e-05,0.772237762237762
32.2688690474264,4887,2453,2660,633,0.143,4.5e-05,0.771923076923077
32.2697784891922,4887,2452,2661,633,0.143,4.5e-05,0.771608391608392
32.2711025013766,4888,2452,2660,633,0.143,4.5e-05,0.771608391608392
32.2716804309195,4888,2451,2661,633,0.143,4.5e-05,0.771293706293706
32.2722324294107,4889,2451,2660,633,0.143,4.5e-05,0.771293706293706
32.2723459639661,4890,2451,2659,633,0.143,4.5e-05,0.771293706293706
32.2724513347552,4890,2450,2660,633,0.143,4.5e-05,0.770979020979021
32.2727937384739,4891,2450,2659,633,0.143,4.5e-05,0.770979020979021
32.2736455094375,4891,2449,2660,633,0.143,4.5e-05,0.770664335664336
32.2760522378178,4891,2448,2661,633,0.143,4.5e-05,0.77034965034965
32.276788362511,4891,2447,2662,633,0.143,4.5e-05,0.770034965034965
32.2782110686123,4892,2447,2661,633,0.143,4.5e-05,0.770034965034965
32.2803193275733,4893,2447,2660,633,0.143,4.5e-05,0.770034965034965
32.2817154569863,4893,2446,2661,633,0.143,4.5e-05,0.76972027972028
32.2822576453779,4894,2446,2660,634,0.143,4.5e-05,0.76972027972028
32.2826001089322,4895,2446,2659,634,0.143,4.5e-05,0.76972027972028
32.2856904903637,4895,2445,2660,634,0.143,4.5e-05,0.769405594405595
32.2868351036284,4896,2445,2659,634,0.143,4.5e-05,0.769405594405595
32.2870537589204,4896,2444,2660,634,0.143,4.5e-05,0.769090909090909
32.2875458280283,4896,2443,2661,634,0.143,4.5e-05,0.768776223776224
32.2904676325743,4897,2443,2660,634,0.143,4.5e-05,0.768776223776224
32.2908801188796,4898,2443,2659,634,0.143,4.5e-05,0.768776223776224
32.2914850847786,4899,2443,2658,634,0.143,4.5e-05,0.768776223776224
32.2916314220097,4899,2442,2659,634,0.143,4.5e-05,0.768461538461539
32.2936697598906,4899,2441,2660,634,0.143,4.5e-05,0.768146853146853
32.2952334123952,4900,2441,2659,634,0.143,4.5e-05,0.768146853146853
32.2965177335741,4901,2441,2658,634,0.143,4.5e-05,0.768146853146853
32.2966060382747,4902,2441,2657,634,0.143,4.5e-05,0.768146853146853
32.2982058992409,4902,2440,2658,634,0.143,4.5e-05,0.767832167832168
32.299228095061,4902,2439,2659,634,0.143,4.5e-05,0.767517482517483
32.2999217761713,4903,2439,2658,634,0.143,4.5e-05,0.767517482517483
