"t","R","S","I","psi"
"18.2082561097432","145","19585","270","3"
"18.2127823586162","145","19584","271","3"
"18.2174554902357","145","19583","272","3"
"18.2226914886644","145","19582","273","3"
"18.2237548841502","145","19581","274","3"
"18.2391312431073","145","19580","275","3"
"18.243523293554","145","19579","276","3"
"18.2466506593859","145","19578","277","3"
"18.252835824379","145","19577","278","3"
"18.2646683477426","145","19576","279","3"
"18.2720308616245","145","19575","280","3"
"18.2937144800594","146","19575","279","3"
"18.3002415148882","147","19575","278","3"
"18.3049523116267","147","19574","279","3"
"18.3082406243309","148","19574","278","3"
"18.334684695741","149","19574","277","3"
"18.3348932537058","149","19573","278","3"
"18.348475054499","149","19572","279","3"
"18.3537187203104","150","19572","278","3"
"18.3540418196447","150","19571","279","3"
"18.3595162038123","151","19571","278","3"
"18.3645349737795","152","19571","277","3"
"18.3873465269243","152","19570","278","3"
"18.3887102193809","152","19569","279","3"
"18.3933721675791","152","19568","280","3"
"18.3964135418642","152","19567","281","3"
"18.4097857561042","152","19566","282","3"
"18.4118680707013","152","19565","283","3"
"18.412601860518","152","19564","284","3"
"18.4203730264399","153","19564","283","3"
"18.4218906523979","154","19564","282","3"
"18.425042492196","155","19564","281","3"
"18.4396342222872","156","19564","280","3"
"18.4470591019134","156","19563","281","3"
"18.4472403609085","157","19563","280","3"
"18.4565228407678","158","19563","279","3"
"18.464207974837","159","19563","278","3"
"18.4647116804511","160","19563","277","3"
"18.4731513161324","160","19562","278","3"
"18.501582579058","161","19562","277","3"
"18.5029858087893","161","19561","278","3"
"18.5237012553214","162","19561","277","3"
"18.5287509786768","163","19561","276","3"
"18.5303528404712","163","19560","277","3"
"18.5305729964251","163","19559","278","3"
"18.5366300888472","163","19558","279","3"
"18.5405440095697","164","19558","278","3"
"18.5591002240273","164","19557","279","3"
"18.5606038610387","164","19556","280","3"
"18.5743361461552","164","19555","281","3"
"18.5874025770744","164","19554","282","3"
"18.5993416071096","164","19553","283","3"
"18.6006689794825","164","19552","284","3"
"18.6026803225093","164","19551","285","3"
"18.6051893979077","165","19551","284","3"
"18.6052759865025","165","19550","285","3"
"18.6070222014245","166","19550","284","3"
"18.6129588314803","167","19550","283","3"
"18.645757025939","167","19549","284","3"
"18.6555485873877","167","19548","285","3"
"18.6690620577451","167","19547","286","3"
"18.6736809517551","167","19546","287","3"
"18.6739691129709","167","19545","288","3"
"18.6759250502275","167","19544","289","3"
"18.6888920727248","167","19543","290","3"
"18.6964453923596","167","19542","291","3"
"18.6965746017579","167","19541","292","3"
"18.7112038459291","167","19540","293","3"
"18.713744411484","167","19539","294","3"
"18.7199310694451","167","19538","295","3"
"18.7208134353641","167","19537","296","3"
"18.7283551827877","167","19536","297","3"
"18.7381932310107","167","19535","298","3"
"18.7391379149296","167","19534","299","3"
"18.7400498080614","167","19533","300","3"
"18.7409629005335","168","19533","299","3"
"18.7587623100562","168","19532","300","3"
"18.7588124486474","168","19531","301","3"
"18.7717544140435","168","19530","302","3"
"18.7797399538344","168","19529","303","3"
"18.7834454434545","168","19528","304","3"
"18.7929407819645","168","19527","305","3"
"18.8043629266159","168","19526","306","3"
"18.8058672924895","168","19525","307","3"
"18.8278858563834","168","19524","308","3"
"18.82969158982","169","19524","307","3"
"18.8321794351111","169","19523","308","3"
"18.8482623474103","170","19523","307","3"
"18.8610210433417","170","19522","308","3"
"18.8745319247892","170","19521","309","3"
"18.8845952844417","170","19520","310","3"
"18.891551925686","171","19520","309","3"
"18.8949398027121","172","19520","308","3"
"18.9017644364293","172","19519","309","3"
"18.905408251266","172","19518","310","3"
"18.9073830245591","172","19517","311","3"
"18.9078800830536","172","19516","312","3"
"18.9134252236376","172","19515","313","3"
"18.9208629342627","172","19514","314","3"
"18.9233582321891","172","19513","315","3"
"18.9307486717527","172","19512","316","3"
"18.9351052522284","172","19511","317","3"
