"t","S","E","I","R","psi","Total"
"22.3975577493204","19785","102","61","44","8","20000"
"22.4179994694225","19784","103","61","44","8","20000"
"22.4289714375402","19784","102","62","44","8","20000"
"22.4339866151492","19784","102","61","45","8","20000"
"22.4393120657305","19783","103","61","45","8","20000"
"22.4707731366537","19783","102","62","45","8","20000"
"22.4754944973325","19782","103","62","45","8","20000"
"22.4893331945694","19781","104","62","45","8","20000"
"22.5034877170257","19781","103","63","45","8","20000"
"22.5187504766484","19780","104","63","45","8","20000"
"22.5376297686744","19779","105","63","45","8","20000"
"22.5419855248244","19778","106","63","45","8","20000"
"22.5652222925459","19777","107","63","45","8","20000"
"22.5762245291407","19776","108","63","45","8","20000"
"22.6272003288385","19776","107","64","45","8","20000"
"22.6423822557767","19776","106","65","45","8","20000"
"22.648491945499","19775","107","65","45","8","20000"
"22.6595432743678","19775","106","66","45","8","20000"
"22.6796757810229","19774","107","66","45","8","20000"
"22.6811055283578","19774","107","65","46","8","20000"
"22.6953264406638","19774","107","64","47","8","20000"
"22.7223926346011","19773","108","64","47","8","20000"
"22.7243328829788","19772","109","64","47","8","20000"
"22.7610258808601","19772","109","63","48","8","20000"
"22.7892058260987","19771","110","63","48","8","20000"
"22.7895179016634","19770","111","63","48","8","20000"
"22.8183338035363","19769","112","63","48","8","20000"
"22.8191386900236","19769","111","64","48","8","20000"
"22.8243451897043","19769","110","65","48","8","20000"
"22.8642756160229","19768","111","65","48","8","20000"
"22.884606430293","19767","112","65","48","8","20000"
"22.8864035775694","19767","111","66","48","8","20000"
"22.8976523008251","19767","110","67","48","8","20000"
"22.9166577128951","19766","111","67","48","8","20000"
"22.941051591954","19765","112","67","48","8","20000"
"23.0000864284346","19765","111","68","48","8","20000"
"23.0005040387572","19764","112","68","48","8","20000"
"23.0035312433315","19764","111","69","48","8","20000"
"23.0038943189322","19764","110","70","48","8","20000"
"23.0202833699312","19763","111","70","48","8","20000"
"23.0348396013689","19763","110","71","48","8","20000"
"23.0401139365711","19763","110","70","49","8","20000"
"23.0435918949462","19762","111","70","49","8","20000"
"23.0703187509905","19761","112","70","49","8","20000"
"23.0786721479205","19761","111","71","49","8","20000"
"23.0846052900672","19760","112","71","49","8","20000"
"23.1135431349687","19759","113","71","49","8","20000"
"23.1251735285659","19759","112","72","49","8","20000"
"23.130622362997","19759","111","73","49","8","20000"
"23.1904819920314","19759","110","74","49","8","20000"
"23.1929492982693","19759","109","75","49","8","20000"
"23.1941526270296","19758","110","75","49","8","20000"
